# CFX3 (CFX335, FC:E8:C0:A9:0B:FA) first sessions, 2026-09-20 12:17-12:39, laptop on top of the cooler.
# Bonded via bluetoothctl while the cooler was in its Bluetooth pairing menu. Link opened with
# `bluetoothctl connect`, console attached (bleak reused the link), handshake PING-first.
# TX = console → cooler, RX = cooler → console. Hex exactly as on GATT; text = pyddm decoding.
# WiFi SSID payload redacted (topic 00 00 07 01).

12:38:09,869  TX  04                                               ACK
12:38:09,981  RX  00 00 05 03 01 01                                PUBLISH 00 05 03 01 = 01  power.powerSource = 1
12:38:09,982  TX  04                                               ACK
12:38:10,056  RX  00 00 C0 00 00 43 46 58 33 33 35 00 35 20 44 5A 00 00 00 00 PUBLISH 00 C0 00 00 = 43 46 58 33 33 35 00 35 20 44 5A 00 00 00 00  productInformation.productModelNumber = CFX335
12:38:10,057  TX  04                                               ACK
12:38:10,131  RX  00 00 C1 00 00 34 34 33 30 34 33 34 35 00 00 00 00 00 00 00 PUBLISH 00 C1 00 00 = 34 34 33 30 34 33 34 35 00 00 00 00 00 00 00  productInformation.productSerialNumber = 44304345
12:38:10,132  TX  04                                               ACK
12:38:10,206  RX  00 00 C4 00 00 01                                PUBLISH 00 C4 00 00 = 01  productInformation.productType = 1
12:38:10,207  TX  04                                               ACK
12:38:10,281  RX  00 00 C0 00 00 43 46 58 33 33 35 00 35 20 44 5A 00 00 00 00 PUBLISH 00 C0 00 00 = 43 46 58 33 33 35 00 35 20 44 5A 00 00 00 00  productInformation.productModelNumber = CFX335
12:38:10,281  TX  04                                               ACK
12:38:10,356  RX  00 00 C1 00 80 56 33 2E 35 31 30 2B 44 44 32 2E 32 00 PUBLISH 00 C1 00 80 = 56 33 2E 35 31 30 2B 44 44 32 2E 32 00  deviceSpecific.ccFirmwareVersion = V3.510+DD2.2
12:38:10,357  TX  04                                               ACK
12:38:10,431  RX  00 00 C1 00 00 34 34 33 30 34 33 34 35 00 00 00 00 00 00 00 PUBLISH 00 C1 00 00 = 34 34 33 30 34 33 34 35 00 00 00 00 00 00 00  productInformation.productSerialNumber = 44304345
12:38:10,432  TX  04                                               ACK
12:38:10,506  RX  00 00 00 01 01 01                                PUBLISH 00 00 01 01 = 01  compartment.c0Power = yes
12:38:10,507  TX  04                                               ACK
12:38:10,581  RX  00 00 C4 00 00 01                                PUBLISH 00 C4 00 00 = 01  productInformation.productType = 1
12:38:10,582  TX  04                                               ACK
12:38:10,656  RX  00 00 01 01 01 B4 00                             PUBLISH 00 01 01 01 = B4 00  compartment.c0MeasuredTemperature = 18.0 °C
12:38:10,657  TX  04                                               ACK
12:38:10,731  RX  00 00 C1 00 80 56 33 2E 35 31 30 2B 44 44 32 2E 32 00 PUBLISH 00 C1 00 80 = 56 33 2E 35 31 30 2B 44 44 32 2E 32 00  deviceSpecific.ccFirmwareVersion = V3.510+DD2.2
12:38:10,732  TX  04                                               ACK
12:38:10,918  RX  00 00 02 01 01 14 00                             PUBLISH 00 02 01 01 = 14 00  compartment.c0SetTemperature = 2.0 °C
12:38:10,919  TX  04                                               ACK
12:38:10,993  RX  00 00 00 01 01 01                                PUBLISH 00 00 01 01 = 01  compartment.c0Power = yes
12:38:10,994  TX  04                                               ACK
12:38:11,106  RX  00 00 08 01 01 00                                PUBLISH 00 08 01 01 = 00  compartment.c0DoorOpen = no
12:38:11,107  TX  04                                               ACK
12:38:11,181  RX  00 00 01 01 01 B4 00                             PUBLISH 00 01 01 01 = B4 00  compartment.c0MeasuredTemperature = 18.0 °C
12:38:11,182  TX  04                                               ACK
12:38:11,256  RX  00 00 80 01 01 24 FF C8 00                       PUBLISH 00 80 01 01 = 24 FF C8 00  compartment.c0TemperatureRange = -22.0 … 20.0
12:38:11,257  TX  04                                               ACK
12:38:11,331  RX  00 00 02 01 01 14 00                             PUBLISH 00 02 01 01 = 14 00  compartment.c0SetTemperature = 2.0 °C
12:38:11,332  TX  04                                               ACK
12:38:11,406  RX  00 00 00 03 01 01                                PUBLISH 00 00 03 01 = 01  power.coolerPower = yes
12:38:11,407  TX  04                                               ACK
